band_singer,ranking,song,title,genre,year
Richard Chamberlain,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Theme from Dr. Kildare (Three Stars Will Shine Tonight),[],1962
Ace Cannon,40,Tuff,Tuff,['Blues rock'],1962
Clyde McPhatter,41,Lover Please,Lover Please,['Rock and roll'],1962
Barbara George,42,"[""I Know (You Don't Love Me No More)""]",I Know (You Don't Love Me No More),['R&B'],1962
Ricky Nelson,43,Young World,Young World,['Ballad'],1962
The Shirelles,44,"[""Baby It's You""]",Baby It's You,['Merseybeat'],1962
Pat Boone,45,Speedy Gonzales,Speedy Gonzales,['Pop'],1962
Burl Ives,46,A Little Bitty Tear,A Little Bitty Tear,"['Country', 'pop', 'Nashville sound']",1962
The Everly Brothers,47,Crying in the Rain,Crying in the Rain,['Country'],1962
Emilio Pericoli,48,Al di là,Al di là,['Traditional pop music'],1962
Ernie Maresca,49,Shout! Shout! (Knock Yourself Out),Shout! Shout! (Knock Yourself Out),"['Rock and roll', 'doo-wop']",1962
Don and Juan,50,"[""What's Your Name""]",What's Your Name,['Doo-wop'],1962
The Corsairs,51,Smoky Places,Smoky Places,['Doo-wop'],1962
Sam Cooke,52,Having a Party,Having a Party,"['Rhythm and blues', 'soul']",1962
"[""Booker T. & the M.G.'s""]",53,Green Onions,Green Onions,['Instrumental rocksoulR&B'],1962
Ray Charles,54,"[""You Don't Know Me""]",You Don't Know Me,['Country'],1962
The Four Seasons,55,Sherry,Sherry,['Doo-wop'],1962
Joanie Sommers,56,Johnny Get Angry,Johnny Get Angry,['Pop'],1962
Elvis Presley,57,"[""Can't Help Falling in Love""]",Can't Help Falling in Love,['Pop'],1962
Joey Dee and the Starliters,58,Shout,Shout,"['Rock and roll', 'gospel', 'R&B']",1962
"Dave ""Baby"" Cortez",59,Rinky Dink,Rinky Dink,['Pop'],1962
Henry Mancini,60,Moon River,Moon River,['Traditional pop'],1962
Ray Stevens,61,Ahab the Arab,Ahab the Arab,['Novelty'],1962
Bobby Darin,62,Things,Things,['Pop rock'],1962
Gene Pitney,63,(The Man Who Shot) Liberty Valance,(The Man Who Shot) Liberty Valance,['Country pop'],1962
The Duprees,64,You Belong to Me,You Belong to Me,"['Ballad', 'traditional pop']",1962
Roy Orbison,65,Dream Baby (How Long Must I Dream),Dream Baby (How Long Must I Dream),['Rockabilly'],1962
Joe Henderson,66,Snap Your Fingers,Snap Your Fingers,['R&B'],1962
Dion,67,Lovers Who Wander,Lovers Who Wander,['Rock and roll'],1962
Chris Montez,68,"[""Let's Dance""]",Let's Dance,"['Rock and roll', 'garage rock']",1962
Johnny Crawford,69,"""Cindy's Birthday""","""Cindy's Birthday""",[],1962
Mary Wells,70,You Beat Me to the Punch,You Beat Me to the Punch,['Soul'],1962
Barbara Lynn,71,"[""You'll Lose a Good Thing""]",You'll Lose a Good Thing,['Rhythm and blues'],1962
The Crystals,72,Uptown,Uptown,[],1962
Brenda Lee,73,Everybody Loves Me But You,Everybody Loves Me But You,['Vocal'],1962
Dickey Lee,74,Patches,Patches,['Pop'],1962
Jimmy Clanton,75,Venus in Blue Jeans,Venus in Blue Jeans,[],1962
Paul Anka,76,"""Love Me Warm and Tender""","""Love Me Warm and Tender""",[],1962
Rick Nelson,77,Teen Age Idol,Teen Age Idol,['Pop'],1962
Patsy Cline,78,"[""She's Got You""]",She's Got You,"['Countrypolitan', 'traditional pop']",1962
Larry Finnegan,79,Dear One,Dear One,['Pop'],1962
James Darren,80,Her Royal Majesty,Her Royal Majesty,['Rock and roll'],1962
Walter Brennan,81,Old Rivers,Old Rivers,['Country'],1962
Burl Ives,82,"[""Funny Way of Laughin'""]",Funny Way of Laughin',['Folk'],1962
Billy Vaughn,83,"[""A Swingin' Safari""]",A Swingin' Safari,['Instrumental'],1962
Dick and Dee Dee,84,"""Tell Me""","""Tell Me""",[],1962
Jimmy Dean,85,PT-109,PT-109,['Country Pop'],1962
Dion,86,Little Diane,Little Diane,['Rock and roll'],1962
Billy Joe and the Checkmates,87,"""Percolator (Twist)""","""Percolator (Twist)""",[],1962
Gary U.S. Bonds,88,"Twist, Twist Senora","Twist, Twist Senora",['Rock and roll'],1962
Jimmy Soul,89,"""Twistin' Matilda""","""Twistin' Matilda""",[],1962
Dee Dee Sharp,90,"""Gravy (For My Mashed Potatoes)""","""Gravy (For My Mashed Potatoes)""",[],1962
Jimmy Smith,91,"""Walk on the Wild Side""","""Walk on the Wild Side""",[],1962
King Curtis,92,Soul Twist,Soul Twist,['R&B'],1962
Bobby Rydell,93,"[""I'll Never Dance Again""]",I'll Never Dance Again,['Pop'],1962
The Ikettes,94,"[""I'm Blue (The Gong-Gong Song)""]",I'm Blue (The Gong-Gong Song),"['R&B', 'Soul']",1962
The Kingston Trio,95,Where Have All the Flowers Gone?,Where Have All the Flowers Gone?,['Label'],1962
Eddie Hodges,96,"""(Girls, Girls, Girls) Made to Love""","""(Girls, Girls, Girls) Made to Love""",[],1962
Gene Pitney,97,Town Without Pity,Town Without Pity,[],1962
"Peter, Paul and Mary",98,If I Had a Hammer,If I Had a Hammer,['Folk'],1962
Ronnie & the Hi-Lites,99,"""I Wish That We Were Married""","""I Wish That We Were Married""",[],1962
The Beach Boys,100,"[""Surfin' Safari""]",Surfin' Safari,['Surf rock'],1962
The Beach Boys,1,"[""Surfin' U.S.A.""]",Surfin' U.S.A.,['Vocal surfrock and roll'],1963
Skeeter Davis,2,The End of the World,The End of the World,['Country pop'],1963
The Cascades,3,Rhythm of the Rain,Rhythm of the Rain,['Pop'],1963
The Chiffons,4,"[""He's So Fine""]",He's So Fine,"['Pop', 'doo-wop']",1963
Bobby Vinton,5,Blue Velvet,Blue Velvet,['Traditional pop'],1963
Paul & Paula,6,Hey Paula,Hey Paula,['Pop'],1963
Little Stevie Wonder,7,Fingertips,Fingertips,"['R&B', 'soul']",1963
Andy Williams,8,"[""Can't Get Used to Losing You""]",Can't Get Used to Losing You,['Easy listening'],1963
The Angels,9,"[""My Boyfriend's Back""]",My Boyfriend's Back,['Pop'],1963
Kyu Sakamoto,10,Sukiyaki,Sukiyaki,['Kayōkyoku'],1963
The Tymes,11,So Much in Love,So Much in Love,['Doo-wop'],1963
"Peter, Paul and Mary",12,"Puff, the Magic Dragon","Puff, the Magic Dragon","['Pop', 'folk', 'Children’s music']",1963
"Peter, Paul and Mary",13,"[""Blowin' in the Wind""]",Blowin' in the Wind,['Folk'],1963
The Surfaris,14,Wipe Out,Wipe Out,['Surf rockinstrumental rock'],1963
Al Martino,15,I Love You Because,I Love You Because,['Country'],1963
The Rebels,16,Wild Weekend,Wild Weekend,['Surf'],1963
Bobby Darin,17,re the Reason I,You're the Reason I'm Living,['Pop'],1963
The Four Seasons,18,Walk Like a Man,Walk Like a Man,['Rock and roll'],1963
Inez and Charlie Foxx,19,Mockingbird,Mockingbird,['Soul'],1963
Little Peggy March,20,I Will Follow Him,I Will Follow Him,['Pop'],1963
The Chantays,21,Pipeline,Pipeline,['Surf rock'],1963
Jan and Dean,22,Surf City,Surf City,['Vocal surf'],1963
Lesley Gore,23,"[""It's My Party""]",It's My Party,['Popblue-eyed soul'],1963
Eydie Gormé,24,Blame It on the Bossa Nova,Blame It on the Bossa Nova,"['Traditional pop', 'rock and roll']",1963
The Dovells,25,"[""You Can't Sit Down""]",You Can't Sit Down,[],1963
Martha and the Vandellas,26,Heat Wave,Heat Wave,['Soul'],1963
Randy & the Rainbows,27,Denise,Denise,['Doo-wop'],1963
The Rooftop Singers,28,Walk Right In,Walk Right In,['Folk'],1963
Jimmy Soul,29,If You Wanna Be Happy,If You Wanna Be Happy,['Doo-wop'],1963
Trini Lopez,30,If I Had a Hammer,If I Had a Hammer,['Folk'],1963
The Essex,31,Easier Said Than Done,Easier Said Than Done,['Pop'],1963
Dion,32,Ruby Baby,Ruby Baby,['Country'],1963
Ruby & the Romantics,33,Our Day Will Come,Our Day Will Come,['R&B'],1963
Barbara Lewis,34,Hello Stranger,Hello Stranger,['R&B'],1963
The Ronettes,35,Be My Baby,Be My Baby,['PopR&B'],1963
The Orlons,36,South Street,South Street,['R&B'],1963
Henry Mancini,37,Days of Wine and Roses,Days of Wine and Roses,['Easy listening'],1963
Major Lance,38,The Monkey Time,The Monkey Time,['R&B'],1963
The Four Seasons,39,Candy Girl,Candy Girl,['Pop'],1963
Jimmy Gilmer and the Fireballs,40,Sugar Shack,Sugar Shack,"['Garage rock', 'rock and roll']",1963
Bill Anderson,41,Still,Still,['Country'],1963
Bobby Vinton,42,Blue on Blue,Blue on Blue,['Pop'],1963
Garnet Mimms,43,Cry Baby,Cry Baby,['Soul blues'],1963
Lou Christie,44,Two Faces Have I,Two Faces Have I,['Pop'],1963
Ray Charles,45,Busted,Busted,['Country'],1963
The Crystals,46,Da Doo Ron Ron,Da Doo Ron Ron,"['R&B', 'pop', 'rock and roll']",1963
The Shirelles,47,Foolish Little Girl,Foolish Little Girl,['R&B'],1963
Lonnie Mack,48,Memphis,Memphis,"['Rhythm and blues', 'rock and roll']",1963
Roy Orbison,49,In Dreams,In Dreams,"['Pop', 'Rock']",1963
Kai Winding,50,More,More,['Easy listening'],1963
Skeeter Davis,51,"[""I Can't Stay Mad at You""]",I Can't Stay Mad at You,"['Country', 'girl group']",1963
Brenda Lee,52,Losing You,Losing You,['Pop'],1963
Roy Orbison,53,Mean Woman Blues,Mean Woman Blues,['Rock and roll'],1963
Bill Pursell,54,Our Winter Love,Our Winter Love,['Easy listening'],1963
Tony Bennett,55,I Wanna Be Around,I Wanna Be Around,"['Jazz', 'traditional pop']",1963
The Miracles,56,"[""You've Really Got a Hold on Me""]",You've Really Got a Hold on Me,['Soul'],1963
The Jaynetts,57,"[""Sally Go 'Round the Roses""]",Sally Go 'Round the Roses,"['R&B', 'pop']",1963
Elvis Presley,58,"[""(You're the) Devil in Disguise""]",(You're the) Devil in Disguise,"['Rock and roll', 'pop']",1963
Nat King Cole,59,Those Lazy-Hazy-Crazy Days of Summer,Those Lazy-Hazy-Crazy Days of Summer,['Easy listening'],1963
Jackie Wilson,60,Baby Workout,Baby Workout,['R&B'],1963
Marvin Gaye,61,Pride and Joy,Pride and Joy,"['Rhythm and blues', 'soul']",1963
Nino Tempo & April Stevens,62,Deep Purple,Deep Purple,['Pop'],1963
Ned Miller,63,From a Jack to a King,From a Jack to a King,['Country'],1963
The Drifters,64,Up on the Roof,Up on the Roof,['R&Bsoulpop'],1963
Johnny Mathis,65,What Will Mary Say,What Will Mary Say,['Easy listening'],1963
Jan Bradley,66,"""Mama Didn't Lie""","""Mama Didn't Lie""",[],1963
Bobby Vee,67,The Night Has a Thousand Eyes,The Night Has a Thousand Eyes,['Pop'],1963
The Cookies,68,t Say Nothin,Don't Say Nothin' Bad (About My Baby),['Pop rock'],1963
Johnny Cash,69,Ring of Fire,Ring of Fire,['Country'],1963
Doris Troy,70,Just One Look,Just One Look,['Rhythm and blues'],1963
Allan Sherman,71,"Hello Muddah, Hello Fadduh (A Letter from Camp)","Hello Muddah, Hello Fadduh (A Letter from Camp)",['Novelty song'],1963
Lesley Gore,72,"[""Judy's Turn to Cry""]",Judy's Turn to Cry,"['Pop', 'rock']",1963
Rolf Harris,73,"Tie Me Kangaroo Down, Sport","Tie Me Kangaroo Down, Sport","['Folk', 'pop', 'comedy', 'novelty']",1963
Rick Nelson,74,Fools Rush In,Fools Rush In,['Swing'],1963
The Village Stompers,75,Washington Square,Washington Square,"['Pop', 'Dixieland jazz', 'instrumental']",1963
Dion,76,Donna the Prima Donna,Donna the Prima Donna,['Rock and roll'],1963
Nat King Cole,77,"That Sunday, That Summer","That Sunday, That Summer",[],1963
Sam Cooke,78,Another Saturday Night,Another Saturday Night,"['R&B', 'soul']",1963
Al Martino,79,"""Painted, Tainted Rose""","""Painted, Tainted Rose""",[],1963
Steve Lawrence,80,Go Away Little Girl,Go Away Little Girl,['Pop'],1963
Ray Charles,81,Take These Chains from My Heart,Take These Chains from My Heart,"['Country & Western', 'Honky-tonk', 'Country blues']",1963
Sunny & the Sunglows,82,Talk to Me,Talk to Me,['Rhythm and blues'],1963
Martha and the Vandellas,83,Come and Get These Memories,Come and Get These Memories,['Soul'],1963
Dee Dee Sharp,84,"""Do the Bird""","""Do the Bird""",[],1963
The Impressions,85,"[""It's All Right""]",It's All Right,['Soul'],1963
The Beach Boys,86,Shut Down,Shut Down,['Hot rod rockcar song'],1963
The Chiffons,87,One Fine Day,One Fine Day,['Pop'],1963
Del Shannon,88,Little Town Flirt,Little Town Flirt,['Pop rock'],1963
Joe Harnell,89,Fly Me to the Moon,Fly Me to the Moon,['Jazz'],1963
The Kingston Trio,90,The Reverend Mr. Black,The Reverend Mr. Black,['Folk'],1963
The Dartells,91,"""Hot Pastrami""","""Hot Pastrami""",[],1963
The Ran-Dells,92,Martian Hop,Martian Hop,"['Doo-wop', 'novelty', 'pop']",1963
The Tymes,93,Wonderful! Wonderful!,Wonderful! Wonderful!,['Jazz'],1963
George Hamilton IV,94,Abilene,Abilene,['Country'],1963
Little Johnny Taylor,95,Part Time Love,Part Time Love,['R&B'],1963
Los Indios Tabajaras,96,Maria Elena,Maria Elena,['Instrumental'],1963
Bobby Bare,97,Detroit City,Detroit City,['Country'],1963
Chubby Checker,98,Twenty Miles,Twenty Miles,['Rock and roll'],1963
The New Christy Minstrels,99,"Green, Green","Green, Green",['Folk'],1963
Freddie Scott,100,Hey Girl,Hey Girl,['Pop'],1963
The Beatles,1,I Want to Hold Your Hand,I Want to Hold Your Hand,['Rock and rollpop'],1964
The Beatles,2,She Loves You,She Loves You,['Rock and rollpop'],1964
Louis Armstrong,3,"Hello, Dolly!","Hello, Dolly!",['Traditional popjazz'],1964
Roy Orbison,4,"Oh, Pretty Woman","Oh, Pretty Woman","['Rock and roll', 'power pop']",1964
The Beach Boys,5,I Get Around,I Get Around,['Rock'],1964
Dean Martin,6,Everybody Loves Somebody,Everybody Loves Somebody,['Traditional pop'],1964
Mary Wells,7,My Guy,My Guy,['Easy listening'],1964
Gale Garnett,8,"[""We'll Sing in the Sunshine""]",We'll Sing in the Sunshine,['Folk'],1964
J. Frank Wilson and the Cavaliers,9,Last Kiss,Last Kiss,['Pop'],1964
The Supremes,10,Where Did Our Love Go,Where Did Our Love Go,['Pop-soul'],1964
Barbra Streisand,11,People,People,[],1964
Al Hirt,12,Java,Java,['Jazz'],1964
The Beatles,13,"[""A Hard Day's Night""]",A Hard Day's Night,['Rock'],1964
The Beatles,14,Love Me Do,Love Me Do,"['Merseybeat', 'pop', 'R&B', 'rock and roll']",1964
Manfred Mann,15,Do Wah Diddy Diddy,Do Wah Diddy Diddy,['R&Bpop rock'],1964
The Beatles,16,Please Please Me,Please Please Me,"['Merseybeat', 'rock and roll']",1964
Martha and the Vandellas,17,Dancing in the Street,Dancing in the Street,"['R&B', 'Northern soul']",1964
Billy J. Kramer,18,Little Children,Little Children,['Popbeat'],1964
The Ray Charles Singers,19,Love Me with All Your Heart (Cuando Calienta El Sol),Love Me with All Your Heart (Cuando Calienta El Sol),['Doo-wop'],1964
The Drifters,20,Under the Boardwalk,Under the Boardwalk,['Soul'],1964
The Dixie Cups,21,Chapel of Love,Chapel of Love,"['Pop', 'R&B', 'soul']",1964
Terry Stafford,22,Suspicion,Suspicion,"['Pop', 'rock and roll']",1964
The Dave Clark Five,23,Glad All Over,Glad All Over,"['Beat', 'pop rock']",1964
The Four Seasons,24,Rag Doll,Rag Doll,['Pop rock'],1964
The Four Seasons,25,Dawn (Go Away),Dawn (Go Away),['Pop'],1964
The Newbeats,26,Bread and Butter,Bread and Butter,['Pop'],1964
Gene Pitney,27,It Hurts to Be in Love,It Hurts to Be in Love,"['Rock and roll', 'pop']",1964
Jan and Dean,28,"[""Dead Man's Curve""]",Dead Man's Curve,"['Pop', 'teenage tragedy', 'car song']",1964
Jay and the Americans,29,Come a Little Bit Closer,Come a Little Bit Closer,"['Rock', 'Pop']",1964
Peter and Gordon,30,A World Without Love,A World Without Love,['Pop'],1964
The Honeycombs,31,Have I the Right?,Have I the Right?,['Pop'],1964
The Serendipity Singers,32,"[""Don't Let the Rain Come Down (Crooked Little Man)""]",Don't Let the Rain Come Down (Crooked Little Man),"['Folk', 'calypso']",1964
The Supremes,33,Baby Love,Baby Love,['Poprhythm and blues'],1964
Betty Everett,34,Let It Be Me,Let It Be Me,['Pop'],1964
Dusty Springfield,35, and Hopin,Wishin' and Hopin',['Pop'],1964
Lesley Gore,36,"[""You Don't Own Me""]",You Don't Own Me,"['Doo-wop', 'R&B', 'blue-eyed soul']",1964
Dionne Warwick,37,Walk On By,Walk On By,"['Pop', 'R&B', 'soul']",1964
The Animals,38,The House of the Rising Sun,The House of the Rising Sun,"['Folk rock', 'blues rock']",1964
Ronny & the Daytonas,39,G.T.O.,G.T.O.,['rock n roll'],1964
The Beatles,40,Twist and Shout,Twist and Shout,['Rock and roll'],1964
Johnny Rivers,41,Memphis,Memphis,"['Rhythm and blues', 'rock and roll']",1964
Danny Williams,42,White on White,White on White,['Traditional pop'],1964
The Rip Chords,43,Hey Little Cobra,Hey Little Cobra,"['Hot rod rock', 'car song']",1964
Betty Everett,44,"[""The Shoop Shoop Song (It's in His Kiss)""]",The Shoop Shoop Song (It's in His Kiss),['R&Bsoulpop'],1964
The Dave Clark Five,45,Bits and Pieces,Bits and Pieces,"['Pop rock', 'beat']",1964
Millie Small,46,My Boy Lollipop,My Boy Lollipop,"['Rhythm and blues', 'ska']",1964
Major Lance,47,"Um, Um, Um, Um, Um, Um","Um, Um, Um, Um, Um, Um",['Soul'],1964
Jan and Dean,48,The Little Old Lady (from Pasadena),The Little Old Lady (from Pasadena),['Car song'],1964
Gerry and the Pacemakers,49,"[""Don't Let the Sun Catch You Crying""]",Don't Let the Sun Catch You Crying,"['Merseybeat', 'pop']",1964
Chad & Jeremy,50,A Summer Song,A Summer Song,"['Soft rock', 'folk-pop']",1964
Stan Getz,51,The Girl from Ipanema,The Girl from Ipanema,"['Bossa nova', 'jazz']",1964
The Beatles,52,"[""Can't Buy Me Love""]",Can't Buy Me Love,"['Rock and roll', '', '']",1964
The Shangri-Las,53,Remember (Walking in the Sand),Remember (Walking in the Sand),['Pop'],1964
Bobby Freeman,54,"[""C'mon and Swim""]",C'mon and Swim,"['Rock and roll', 'Funk']",1964
The Beatles,55,Do You Want to Know a Secret,Do You Want to Know a Secret,"['Merseybeat', 'pop', 'doo-wop']",1964
The Impressions,56,Keep On Pushing,Keep On Pushing,['Progressive soul'],1964
Four Tops,57,Baby I Need Your Loving,Baby I Need Your Loving,"['Soul', 'pop']",1964
Diane Renay,58,Navy Blue,Navy Blue,"['Pop', 'MOR']",1964
The Bachelors,59,Diane,Diane,[],1964
The Marketts,60,Out of Limits,Out of Limits,['Surf rock'],1964
The Hondells,61,Little Honda,Little Honda,"['Pop rock', '', '']",1964
Roger Miller,62,Chug-a-Lug,Chug-a-Lug,['Country'],1964
Bobby Goldsboro,63,See the Funny Little Clown,See the Funny Little Clown,['Traditional pop'],1964
The Dave Clark Five,64,Because,Because,['Pop rock'],1964
The Reflections,65,(Just Like) Romeo and Juliet,(Just Like) Romeo and Juliet,"['Pop', 'doo-wop']",1964
Rick Nelson,66,For You,For You,[],1964
The New Christy Minstrels,67,Today,Today,['Folk'],1964
The Dave Clark Five,68,t You See That She,Can't You See That She's Mine,['Beat'],1964
The Shangri-Las,69,Leader of the Pack,Leader of the Pack,['Pop'],1964
Joe Hinton,70,Funny How Time Slips Away,Funny How Time Slips Away,['Country'],1964
The Temptations,71,The Way You Do the Things You Do,The Way You Do the Things You Do,['Soul'],1964
Dionne Warwick,72,Anyone Who Had a Heart,Anyone Who Had a Heart,['Soulpop'],1964
Al Martino,73,I Love You More and More Every Day,I Love You More and More Every Day,['Traditional pop'],1964
Roy Orbison,74,"[""It's Over""]",It's Over,[],1964
The Four Seasons,75,Ronnie,Ronnie,['Pop'],1964
The Trashmen,76,"[""Surfin' Bird""]",Surfin' Bird,['Surf rockgarage rockproto-punk'],1964
The Tams,77,What Kind of Fool (Do You Think I Am),What Kind of Fool (Do You Think I Am),['R&B'],1964
Dean Martin,78,The Door Is Still Open to My Heart,The Door Is Still Open to My Heart,['Traditional pop'],1964
The Kinks,79,You Really Got Me,You Really Got Me,"['Garage rock', 'hard rock', 'rock and roll', 'proto-punk']",1964
Sammy Davis Jr.,80,"""The Shelter of Your Arms""","""The Shelter of Your Arms""",[],1964
The Impressions,81,"""I'm So Proud""","""I'm So Proud""",[],1964
The Jelly Beans,82,"""I Wanna Love Him So Bad""","""I Wanna Love Him So Bad""",[],1964
Roger Miller,83,Dang Me,Dang Me,['Country'],1964
Al Hirt,84,Cotton Candy,Cotton Candy,['Jazz'],1964
Nancy Wilson,85,"[""(You Don't Know) How Glad I Am""]",(You Don't Know) How Glad I Am,['Easy listening'],1964
The Kingsmen,86,"[""Money (That's What I Want)""]",Money (That's What I Want),['Rhythm and blues'],1964
The Searchers,87,"[""Don't Throw Your Love Away""]",Don't Throw Your Love Away,['R&B'],1964
Tommy Tucker,88,Hi-Heel Sneakers,Hi-Heel Sneakers,['Blues'],1964
Gerry and the Pacemakers,89,How Do You Do It?,How Do You Do It?,['Merseybeat'],1964
The Ventures,90,t Run ,"Walk, Don't Run '64","['Instrumental rock', 'surf rock']",1964
The Dave Clark Five,91,Do You Love Me,Do You Love Me,['Rhythm and blues'],1964
Robert Maxwell,92,Shangri-La,Shangri-La,[],1964
"[""Jumpin' Gene Simmons""]",93,"""Haunted House""","""Haunted House""",[],1964
Jimmy Hughes,94,Steal Away,Steal Away,['Southern soul'],1964
The Beatles,95,I Saw Her Standing There,I Saw Her Standing There,['Rock and roll'],1964
Andy Williams,96,A Fool Never Learns,A Fool Never Learns,['Easy Listening'],1964
Billy J. Kramer,97,Bad to Me,Bad to Me,"['Pop', 'beat']",1964
Bobby Vinton,98,"[""There! I've Said It Again""]",There! I've Said It Again,['Popular music'],1964
The Kingsmen,99,Louie Louie,Louie Louie,['Rhythm and blues'],1964
The Searchers,100,Needles and Pins,Needles and Pins,"['Rock', 'beat']",1964
Sam the Sham and the Pharaohs,1,Wooly Bully,Wooly Bully,['Rock and roll'],1965
