band_singer,ranking,song,title,genre,year
Matt Monro,84,My Kind of Girl,My Kind of Girl,['Traditional pop'],1961
Paul Anka,85,"""Tonight My Love, Tonight""","""Tonight My Love, Tonight""",[],1961
Floyd Cramer,86,San Antonio Rose,San Antonio Rose,['Western swing'],1961
Jimmy Dean,87,Big Bad John,Big Bad John,['Country'],1961
Bobby Rydell,88,Good Time Baby,Good Time Baby,['Rock and roll'],1961
Bobby Vee,89,Rubber Ball,Rubber Ball,['Brill Building pop'],1961
Ray Peterson,90,Missing You,Missing You,['Country'],1961
Brenda Lee,91,Dum Dum,Dum Dum,['Pop'],1961
Eddie Hodges,92,"[""I'm Gonna Knock on Your Door""]",I'm Gonna Knock on Your Door,['Pop'],1961
Brenda Lee,93,You Can Depend on Me,You Can Depend on Me,[],1961
Chubby Checker,94,"[""Let's Twist Again""]",Let's Twist Again,['Rock and roll'],1961
The Dave Brubeck Quartet,95,Take Five,Take Five,['West Coast cool jazz'],1961
Elvis Presley,96,Are You Lonesome Tonight?,Are You Lonesome Tonight?,['Traditional pop'],1961
Don Gibson,97,Sea of Heartbreak,Sea of Heartbreak,['Country'],1961
The Four Preps,98,"""More Money for You and Me""","""More Money for You and Me""",[],1961
Bobby Darin,99,You Must Have Been a Beautiful Baby,You Must Have Been a Beautiful Baby,[],1961
The Drifters,100,Please Stay,Please Stay,[],1961
Acker Bilk,1,Stranger on the Shore,Stranger on the Shore,['Easy listening • Jazz'],1962
Ray Charles,2,"[""I Can't Stop Loving You""]",I Can't Stop Loving You,['Country'],1962
Dee Dee Sharp,3,Mashed Potato Time,Mashed Potato Time,"['R&B', 'pop']",1962
Bobby Vinton,4,Roses Are Red (My Love),Roses Are Red (My Love),['Pop'],1962
David Rose,5,The Stripper,The Stripper,['Jazz'],1962
Shelley Fabares,6,Johnny Angel,Johnny Angel,['Pop'],1962
Little Eva,7,The Loco-Motion,The Loco-Motion,"['Pop', 'rhythm and blues']",1962
The Sensations,8,Let Me In,Let Me In,['R&B'],1962
Chubby Checker,9,The Twist,The Twist,"['Rock and roll', 'pop']",1962
The Shirelles,10,Soldier Boy,Soldier Boy,['R&B'],1962
Bruce Channel,11,Hey! Baby,Hey! Baby,['Pop'],1962
Dion,12,The Wanderer,The Wanderer,"['Rhythm and blues', 'pop', 'rock and roll']",1962
Gene Chandler,13,Duke of Earl,Duke of Earl,"['R&B', 'doo-wop']",1962
Freddy Cannon,14,Palisades Park,Palisades Park,['Rock and roll'],1962
Neil Sedaka,15,Breaking Up Is Hard to Do,Breaking Up Is Hard to Do,"['Brill Building', 'doo-wop']",1962
Claude King,16,Wolverton Mountain,Wolverton Mountain,['Country'],1962
Chubby Checker,17,"[""Slow Twistin'""]",Slow Twistin',['R&Brock and rollsoul'],1962
Johnny Tillotson,18,"[""It Keeps Right On a-Hurtin'""]",It Keeps Right On a-Hurtin',['Country'],1962
Mary Wells,19,The One Who Really Loves You,The One Who Really Loves You,['Soul'],1962
Elvis Presley,20,Good Luck Charm,Good Luck Charm,['Rock and rollpop'],1962
Kenny Ball,21,Midnight in Moscow,Midnight in Moscow,['Easy listening'],1962
Tommy Roe,22,Sheila,Sheila,"['Pop rock', 'rockabilly', 'Lubbock sound']",1962
Sam Cooke,23,"[""Twistin' the Night Away""]",Twistin' the Night Away,['Rhythm and blues'],1962
The Orlons,24,The Wah-Watusi,The Wah-Watusi,['R&B'],1962
Joey Dee and the Starliters,25,Peppermint Twist,Peppermint Twist,['Rock and roll'],1962
Brenda Lee,26,Break It to Me Gently,Break It to Me Gently,"['Vocal', 'country']",1962
The Marvelettes,27,Playboy,Playboy,['Rhythm and blues'],1962
Nat King Cole,28,"[""Ramblin' Rose""]",Ramblin' Rose,[],1962
Brian Hyland,29,Sealed with a Kiss,Sealed with a Kiss,['Pop'],1962
Jay and the Americans,30,She Cried,She Cried,['Rock'],1962
Connie Francis,31,"[""Don't Break the Heart That Loves You""]",Don't Break the Heart That Loves You,['Country'],1962
Gary U.S. Bonds,32,Dear Lady Twist,Dear Lady Twist,['Rock and roll'],1962
Sue Thompson,33,Norman,Norman,[],1962
Ketty Lester,34,Love Letters,Love Letters,['Pop'],1962
Claudine Clark,35,Party Lights,Party Lights,['R&B'],1962
The Highwaymen,36,Cotton Fields,Cotton Fields,['Roots rock'],1962
Bent Fabric,37,Alley Cat,Alley Cat,['Pop'],1962
The Isley Brothers,38,Twist and Shout,Twist and Shout,['Rock and roll'],1962
